verbatimScientificName,species,FinalNameInDatabase,FinalSubspeciesInDatabase,ReasonOfUnmatch
Chrysozephyrus tiemushanus,Chrysozephyrus tienmushanus,,,
Cigaritis,,NA,,No species name
Cigaritis abnormis,,,,
"Cigaritis conjuncta Kunte, Sengupta, Pawar, and Nawge 2024",,,,
Cigaritis kuyaniana,,,,
Cigaritis negrita,,Cigaritis syama,,Synonym
Cigaritis nubilus,,,,
Cigaritis rukmini,,,,
Cigaritis schistacea,,,,
Cigaritis zhengweilie,,,,
Cirrochroa,,NA,,No species name
Cirrochroa eremita,,,,
"Clossiana perryi (Butler), 1882",,,,
Coelites spp.,,NA,,No species name
"Coenonympha forsteri Forster, 1961",Coenonympha amaryllis,Coenonympha amaryllis,,Synonym
Coladenia,,NA,,No species name
Coladenia ochracea,,,,
Coliadinae,,NA,,No species name
Colias  erate,Colias erate,Colias erate,,Typo
Colias indet.,,NA,,No species name
Collophrys ferrea,,Callophrys coerulescens,,Spelling mistake; Synonym
Colotis,,NA,,No species name
"Colotis Hubner, 1819",,NA,,No species name
Cotopsilia pomona pomona f. ctocale (Fabricius),Catopsilia pomona,Catopsilia pomona,,Spelling mistake
Cotopsilia pomona pomona f. pomona (Fabricius),Catopsilia pomona,Catopsilia pomona,,Spelling mistake
Cotopsilia pyranthe (Linnaeus),Catopsilia pyranthe,Catopsilia pyranthe,,Spelling mistake
Cotopsilia scylla cornelia (Fabricius),Catopsilia scylla,Catopsilia scylla,,Spelling mistake
Ctenoptilum vasaba basaba Moore,Ctenoptilum vasava,Ctenoptilum vasava,,Spelling mistake
Ctenoptilum vasaba vasava Moore,Ctenoptilum vasava,Ctenoptilum vasava,,Spelling mistake
Cupha,,NA,,No species name
Cupha spp.,,NA,,No species name
Curetis,,NA,,No species name
Curetis acutae paracuta de Nicevill,Curetis acuta,Curetis acuta,,Spelling mistake
"Curetis Hubner, 1819",,NA,,No species name
Curetis paracuta acuta,Curetis acuta,Curetis acuta,,Synonym
"Cyllogenes milleri Monastyrskii, 2005",,Cyllogenes milleri,,Typo
Cynitia sp. UMKL JJW0199,,NA,,No species name
Cynitia sp. UMKL JJW0398,,NA,,No species name
Cyrestis,,NA,,No species name
Cyrestis biaka,Cyrestis acilia,,,Synonym?
Cyrestis irmae,Cyrestis maenalis,,,
"Cyrestis irmae Forbes, 1885",Cyrestis maenalis,,,
Cyrestis nicea nicalis C. &R. Felder,Cyrestis nivea,Cyrestis nivea,,Spelling mistake
Cyrestis spec.,,NA,,No species name
Cyrestis thodamas formosana Fruhs.,,Cyrestis thyodamas,,Spelling mistake
Daimio  tethys,Daimio tethys,Daimio tethys,,Typo
Damora ilone sagana,,Argynnis sagana,,Synonym
Danainae,,NA,,No species name
Danaini,,NA,,No species name
Danaus,,NA,,No species name
Danaus genutis,Danaus genutia,Danaus genutia,,Spelling mistake
Danaus indet.,,NA,,No species name
Danaus juventa sobrinoides,,Ideopsis juventa,,Synonym
Danaus melusine rotnndata,,Parantica melusine,,Synonym
"Danaus philene Stoll, 1782",,Danaus affinis,,Synonym
Danaus plexippus ,Danaus plexippus,Danaus plexippus,,Typo
Danaus spec.,,NA,,No species name
Danis perpheres,,Perpheres perpheres,,Synonym
Delias,,NA,,No species name
Delias antara,,,,
Delias antara Roepke,,,,
Delias belladona,Delias belladonna,Delias belladonna,,Spelling mistake
Delias dortheysi van Mastrigt,,,,
Delias eichorni Rothschild,Delias eichhorni,Delias eichhorni,,Spelling mistake
Delias fioretti van Mastrigt,Delias fioretto,,,
Delias Flavissima,,,,
Delias frater,,,,
Delias frater frater Jordan,,,,
Delias frater soror Toxopeus,,,,
"Delias hennigia Eschscholtz, 1821",Delias henningia,Delias henningia,,Spelling mistake
"Delias hennigia subsp. pandemia Eschscholtz, 1821",Delias henningia,Delias henningia,,Spelling mistake
"Delias Hubner, 1819",,NA,,No species name
Delias inopinata orri van Mastrigt,,,,
Delias lara,Delias ladas,,,
Delias lara (Boisduval),Delias ladas,,,
"Delias mandaya Yamamoto & Takei, 1982",,,,
Delias Rothschild & Jordan,,NA,,No species name
Delias sinak Delias sinak van Mastrigt,,,,
"Delias stressmanni Rothschild, 1915",Delias stresemanni,Delias stresemanni,,Spelling mistake
demolion delotenus Rothschild,,Papilio demolion,,Genus name not stated
Dercas indet.,,NA,,No species name
Dercas verhuelii herodorus,Dercas verhuelli,Dercas verhuelli,,Spelling mistake
Deudorix,,NA,,No species name
Deudorix chandrana kuyaniana,,Sinthusa chandrana,,Synonym
Deudorix eryx horiella,,Artipe eryx,,Synonym
"Devyatkin singularis Monastyrskii & Uémura, 2016",,Devyatkinia singularis,,Spelling mistake; Typo
"Diagora persimilis persimilis (Westwood, 1850)",,Hestina persimilis,,Synonym
Dicallaneura fulvofasciata,,,,
Dicallaneura kirschi,,,,
Dicallaneura pulchra,,,,
Dichorragia  nesimachus,Dichorragia nesimachus,Dichorragia nesimachus,,Typo
Dichorragia nesseus,Dichorragia nesimachus,Dichorragia nesimachus,,Synonym
Discolampa ilissus,,,,
Discolampa ulysses,,Discolampa ethion,,Synonym
Discophora,,NA,,No species name
Discphora sondaica,Discophora sondaica,Discophora sondaica,,Spelling mistake
Doleschalia bisaltidae,Doleschalia bisaltide,NA,,No species name
Doleschallia,,NA,,No species name
Domora  sagana,Damora sagana,Argynnis sagana,,Typo; Synonym
Dravira ulupi,,Chitoria ulupi,,Synonym
Drupadia ravindrina,Drupadia ravindra,Drupadia ravindra,,Synonym
Elodina,,NA,,No species name
Elodina primulari primularis,Elodina primularis,Elodina primularis,,Spelling mistake
Elymias patna hanitschi,Elymnias patna,Elymnias patna,,Spelling mistake
Elymnias,,NA,,No species name
"Elymnias ? kamara Moore, 1858",Elymnias kamara,Elymnias kamara,,Typo
Elymnias ceryxoides,,,,
Elymnias holofernes,Elymnias cybele,,,Synonym?
Elymnias hypermnestria,Elymnias hypermnestra,Elymnias hypermnestra,,Spelling mistake
Elymnias phrikonis,Elymnias cumaea,,,Synonym?
Elymnias resplendens,Elymnias cumaea,,,Synonym?
Enispe,,NA,,No species name
Enispe spec.,,NA,,No species name
Enispe spp.,,NA,,No species name
Eooxilides tharis distanti Riley,Eooxylides tharis,Eooxylides tharis,,Spelling mistake
Epimastidia yiwikana,,,,
Erionota,,NA,,No species name
Erionota apex,Erionota acroleucus,Erionota acroleucus,,Synonym
"Erionota Mabille, 1878",,NA,,No species name
Erionota tarus Evans,Erionota torus,Erionota torus,,Spelling mistake
Erites spp.,,NA,,No species name
Erynnis  montanus,Erynnis montanus,Erynnis montanus,,Typo
Erysichton lineatus,Erysichton lineata,Erysichton lineata,,Synonym
